"","Intercept","InterceptStdErr","Slope","SlopeStdErr","ResidStdErr","Rsq","AdjRsq","DegFree","Fstat","Pvalue"
"Subsample88",0.588488047658823,0.157235372705747,0.417363182209423,0.0594302979842776,0.358692981381693,0.614038032906216,0.601587646870932,31,49.3187947077369,6.95291848332692e-08
"Subsample89",0.717578353779137,0.14974250788345,0.370706836940285,0.0562692065095244,0.324948231890523,0.583350055894918,0.569909735117334,31,43.4029861004411,2.32960835328722e-07
"Subsample90",0.592794451632539,0.181238378212161,0.38268905456849,0.0661419923997214,0.373369827723769,0.519203228765061,0.503693655499418,31,33.4763065283814,2.25953228672543e-06
"Subsample91",0.475739429939414,0.149505070650671,0.429172062749349,0.0538561949849328,0.326777368298005,0.671966720898621,0.661385002217932,31,63.5026068236797,5.3653096830355e-09
"Subsample92",0.611973035779292,0.152945913258115,0.408479615281783,0.0572772848326238,0.408166120680763,0.6213044367728,0.609088450862246,31,50.859950340642,5.15112495964151e-08
"Subsample93",0.794336812180888,0.178560229278112,0.319299199933936,0.0694348741458982,0.397107270703425,0.405522015870892,0.386345306705437,31,21.1465905005953,6.76473120003505e-05
"Subsample94",0.717350762258816,0.203325373976599,0.353736112962643,0.0773005710932219,0.399628941161531,0.403166751086513,0.38391406563769,31,20.9408060064253,7.21064001252104e-05
"Subsample95",0.700464096225298,0.164030298062599,0.325007200779023,0.0640432911455784,0.369671083949497,0.45377956385698,0.43615954978785,31,25.7536436734181,1.73326907288341e-05
"Subsample96",0.783744015612001,0.234718824136563,0.335916729436358,0.0884707678009223,0.410410417523429,0.317430602333715,0.29541223466706,31,14.4166273876172,0.000640197391167904
"Subsample97",0.69883310682065,0.152606743935372,0.386785856764073,0.0582117152889663,0.38897540275666,0.587485918649076,0.574179012799046,31,44.1489498212509,1.98947795823497e-07
"Subsample98",0.68217643928382,0.168527919382377,0.371038922008981,0.0657982231323329,0.392352107951606,0.506359922985918,0.490436049533851,31,31.7987909480771,3.4383108838449e-06
"Subsample99",0.726261105026446,0.216607814612198,0.349377261861999,0.0779706705308174,0.383145849770863,0.393088538437822,0.373510749355171,31,20.0782905964679,9.4513600385064e-05
