"unixtime","temp","oxy","disc"
1662391201,19.0925,8.63,0.061391
1662391801,19.1025,8.6265,0.061399
1662392401,19.11,8.635,0.060691
1662393001,19.125,8.635,0.060592
1662393601,19.1425,8.626,0.060651
1662394201,19.1575,8.618,0.060401
1662394801,19.165,8.6165,0.060232
1662395401,19.175,8.615,0.059985
1662396001,19.185,8.608,0.059848
1662396601,19.1875,8.609,0.060467
1662397201,19.1925,8.613,0.060475
1662397801,19.2,8.6135,0.060068
1662398401,19.21,8.6045,0.060578
1662399001,19.215,8.6005,0.061822
1662399601,19.22,8.5955,0.062748
1662400201,19.2275,8.597,0.065643
1662400801,19.2325,8.5905,0.068517
1662401401,19.24,8.5905,0.077524
1662402001,19.255,8.582,0.096647
1662402601,19.2875,8.5805,0.114924
1662403201,19.3025,8.586,0.156789
1662403801,19.3425,8.601,0.182831
1662404401,19.3675,8.6265,0.207815
1662405001,19.37,8.654,0.237226
1662405601,19.37,8.6605,0.25735
1662406201,19.3675,8.667,0.266059
1662406801,19.355,8.677,0.280888
1662407401,19.3475,8.688,0.300096
1662408001,19.3325,8.699,0.321531
1662408601,19.3075,8.708,0.329946
1662409201,19.285,8.7155,0.335383
1662409801,19.27,8.7195,0.339501
1662410401,19.2525,8.7225,0.338884
1662411001,19.24,8.7235,0.341645
1662411601,19.235,8.7165,0.332372
1662412201,19.2275,8.714,0.322927
1662412801,19.2175,8.712,0.31348
1662413401,19.2125,8.71,0.304282
1662414001,19.205,8.7045,0.292816
1662414601,19.1975,8.701,0.280993
1662415201,19.1925,8.697,0.269642
1662415801,19.1875,8.6935,0.259388
1662416401,19.1775,8.689,0.249654
1662417001,19.17,8.6885,0.241729
1662417601,19.1625,8.681,0.231862
1662418201,19.16,8.6775,0.221316
1662418801,19.15,8.673,0.213939
1662419401,19.1475,8.709,0.213714
1662420001,19.155,8.7355,0.331451
1662420601,19.1625,8.741,0.350004
1662421201,19.165,8.7435,0.352204
1662421801,19.1575,8.7435,0.351785
1662422401,19.1525,8.7455,0.35065
1662423001,19.1425,8.7455,0.348087
1662423601,19.1325,8.744,0.343939
1662424201,19.1175,8.749,0.341214
1662424801,19.1075,8.752,0.337283
1662425401,19.0925,8.758,0.335583
1662426001,19.075,8.7585,0.332121
1662426601,19.0575,8.7575,0.32965
1662427201,19.0475,8.7595,0.326087
1662427801,19.03,8.759,0.320983
1662428401,19.0125,8.762,0.315652
1662429001,19,8.7625,0.315572
1662429601,18.9825,8.7625,0.311597
1662430201,18.9675,8.7655,0.306933
1662430801,18.955,8.7685,0.305451
